company_symbol,sector,ev_ebitda,revenue_growth,profit_margin,gross_profit_margin,return_on_equity,fixed_asset_turnover,asset_turnover,debt_to_equity,capex_to_revenue,r_and_d_to_revenue,dividend_yield,current_ratio,debt_to_equity_squared,current_ratio_squared,positive_roe,return_on_equity_x_positive_roe
CVX,Energy,5.6991,0.1737,0.089,0.278647822,0.0959,0.983050347,0.655231365,0.223,0.0685,0.0073,0.0412,1.252,0.049729,1.567504,1,0.0959
PYPL,Financial Services,28.3773,0.18,0.133,0.460423274,0.1337,8.962296984,0.35657251,0.1299,0.0531,0.0693,0.0,1.273,0.01687401,1.6205289999999997,1,0.1337
JNJ,Healthcare,14.1293,0.0,0.188,0.669212194,0.256,4.789022601,0.561411839,0.5101,0.045,0.1321,0.0274,1.474,0.26020201,2.172676,1,0.256
WDC,Technology,6.0891,0.0814,0.033,0.373177701,0.0585,6.671082391,0.706242518,0.9689,0.0392,0.1162,0.0258,2.387,0.93876721,5.697769,1,0.0585
ON,Technology,6.2229,0.0605,0.107,0.3808414,0.1978,2.305577345,0.774724551,0.8721,0.0807,0.1107,0.0,2.156,0.76055841,4.6483360000000005,1,0.1978
ABT,Healthcare,20.3274,0.1164,0.077,0.584472497,0.0771,4.043104588,0.45521266,0.6369,0.0456,0.0752,0.0155,1.624,0.40564161000000004,2.637376,1,0.0771
PTEN,Energy,5.2031,0.4117,-0.097,0.301056478,-0.0917,0.831219555,0.608241043,0.3193,0.1786,0.0,0.0135,1.805,0.10195248999999998,3.258025,0,-0.0
EBAY,Consumer Cyclical,9.1752,0.0825,0.235,0.778336125,0.4028,6.728866625,0.470923353,1.4697,0.0606,0.1196,0.0,1.6,2.16001809,2.5600000000000005,1,0.4028
MDT,Healthcare,13.1632,0.0082,0.104,0.697292425,0.0612,6.505864466,0.327738448,0.5078,0.0357,0.0753,0.0226,2.279,0.25786084000000004,5.193841,1,0.0612
EOG,Energy,6.9559,0.5413,0.198,0.555716484,0.1766,0.615318955,0.50908109,0.3142,0.3517,0.0086,0.0087,1.356,0.09872163999999999,1.8387360000000001,1,0.1766
TXN,Technology,11.7973,0.055,0.354,0.651102382,0.6204,4.958843858,0.921048025,0.5635,0.0717,0.0988,0.0278,3.273,0.31753225,10.712529000000002,1,0.6204
HES,Energy,6.8421,0.1994,-0.051,0.524280854,-0.0293,0.402039421,0.301684319,0.6929,0.3243,0.056,0.0247,2.024,0.48011040999999993,4.096576,0,-0.0
OXY,Energy,5.3767,0.4264,0.218,0.419879582,0.1937,0.602283933,0.43175081,0.4837,0.2599,0.0058,0.0505,1.34,0.23396569000000003,1.7956000000000003,1,0.1937
AA,Basic Materials,3.1228,0.1503,0.017,0.247854958,0.0404,1.609583283,0.830833127,0.3208,0.0298,0.0023,0.0,1.483,0.10291263999999999,2.1992890000000003,1,0.0404
ECA,Energy,3.1031,0.3367,0.18,0.531234215,0.1435,0.661948284,0.38705683,0.5637,0.3325,0.0,0.0104,1.327,0.31775769,1.760929,1,0.1435
GES,Consumer Cyclical,6.9167,0.0791,-0.003,0.35064901,-0.0086,8.033039483,1.427703224,0.0459,0.0358,0.0,0.0597,2.37,0.00210681,5.6169,0,-0.0
NFLX,Communication Services,13.2519,0.3508,0.077,0.368917133,0.2312,37.76012059,0.608073372,1.9776,0.0135,0.0774,0.0,1.494,3.9109017600000002,2.232036,1,0.2312
ENTG,Technology,10.582,0.1549,0.155,0.464258235,0.2379,3.695804104,0.668997916,0.9277,0.071,0.0764,0.01,3.817,0.8606272899999999,14.569489,1,0.2379
CSX,Industrials,10.5371,0.0738,0.27,0.389632653,0.263,0.382836427,0.333523918,1.1731,0.1164,0.0,0.0142,1.339,1.37616361,1.792921,1,0.263
RES,Energy,5.157,0.0788,0.102,0.312583055,0.1846,3.322518929,1.434672969,0.0,0.141,0.0,0.0476,4.321,0.0,18.671041,1,0.1846
HBI,Consumer Cyclical,8.2884,0.0514,0.081,0.390437473,0.57,11.19646101,0.937705951,4.1025,0.0127,0.0,0.0479,1.733,16.83050625,3.0032890000000005,1,0.57
CHS,Consumer Cyclical,4.3316,-0.0784,0.044,0.378892813,0.1539,5.420838499,2.098536693,0.1045,0.0213,0.0,0.0354,1.927,0.01092025,3.7133290000000003,1,0.1539
MMM,Industrials,14.4369,0.035,0.163,0.490859148,0.546,3.749713893,0.897671233,1.4927,0.0401,0.0556,0.0286,1.892,2.22815329,3.5796639999999997,1,0.546
BIIB,Healthcare,9.1706,0.0961,0.329,0.864988218,0.3398,3.735671443,0.531968571,0.4553,0.0575,0.1931,0.0,2.319,0.20729809,5.377761,1,0.3398
ACN,Technology,16.5203,0.1331,0.099,0.304771693,0.3917,32.43028908,1.676649141,0.0024,0.0151,0.0,0.0157,1.338,5.759999999999999e-06,1.7902440000000002,1,0.3917
LVS,Consumer Cyclical,11.072,0.0786,0.176,0.492024182,0.4245,0.839591487,0.608905841,2.1086,0.0677,0.0,0.0576,1.763,4.4461939600000004,3.1081689999999997,1,0.4245
VLO,Energy,5.8008,0.2453,0.027,0.047798484,0.1441,4.056884359,2.333426378,0.4204,0.0177,0.0,0.0427,1.648,0.17673616,2.7159039999999997,1,0.1441
ARNC,Industrials,6.6962,0.0813,0.046,0.18674183,0.1152,2.45687237,0.749692398,1.1358,0.0548,0.0073,0.0142,1.87,1.2900416399999999,3.4969000000000006,1,0.1152
BTU,Basic Materials,4.5525,0.0005,0.098,0.270378731,0.0013,1.071980027,0.75188922,0.4026,0.054,0.0,0.0159,1.848,0.16208676000000002,3.4151040000000004,1,0.0013
COG,Energy,9.0872,0.2403,0.255,0.646634049,0.2668,0.631754305,0.521132916,0.5872,0.4088,0.052,0.0112,1.896,0.3448038400000001,3.594816,1,0.2668
IBM,Technology,8.2715,0.0057,0.11,0.464072571,0.5196,7.375,0.645077888,2.7276,0.0467,0.0676,0.0546,1.286,7.439801759999999,1.653796,1,0.5196
NYT,Consumer Cyclical,13.2785,0.0002,0.072,0.591766724,0.1208,2.737089202,0.845335911,0.2437,0.0443,0.0,0.0072,1.328,0.05938969,1.7635840000000003,1,0.1208
OLN,Basic Materials,4.9977,0.1081,0.047,0.161817423,0.1158,1.994801987,0.772011915,1.1406,0.055,0.0,0.0398,1.527,1.3009683600000002,2.3317289999999997,1,0.1158
CAT,Industrials,9.4127,0.2037,0.112,0.310715983,0.4366,4.031383527,0.697015629,2.5961,0.0362,0.0338,0.0258,1.368,6.739735209999999,1.8714240000000002,1,0.4366
MYL,Healthcare,9.3551,-0.0398,0.031,0.349976823,0.029,5.268592756,0.349287763,1.1394,0.022,0.0616,0.0,1.388,1.2982323599999999,1.9265439999999998,1,0.029
CMC,Basic Materials,8.9774,0.208,0.03,0.133979783,0.0927,4.319589633,1.395222011,0.7757,0.0359,0.0,0.0222,3.833,0.6017104899999999,14.691889000000002,1,0.0927
JCP,Consumer Cyclical,7.4006,-0.0035,-0.009,0.36238639,-0.0853,3.007007708,1.522711143,3.06,0.0307,0.0,0.0,1.457,9.3636,2.1228490000000004,0,-0.0
GLW,Technology,9.3147,0.1161,0.094,0.395128432,0.0773,0.757972474,0.410470823,0.4349,0.2046,0.088,0.0238,2.124,0.18913801,4.511376,1,0.0773
DOV,Industrials,11.7616,0.0251,0.082,0.366063044,0.206,8.669738387,0.835800789,1.1428,0.0236,0.0,0.0268,1.37,1.3059918400000001,1.8769000000000002,1,0.206
HRL,Consumer Defensive,16.7392,0.0413,0.106,0.209039987,0.1807,6.310789369,1.172360313,0.1116,0.0398,0.0,0.0176,1.8,0.012454560000000002,3.24,1,0.1807
S,Communication Services,4.5597,-0.0282,0.228,0.469388385,0.2804,1.626398996,0.379199382,1.5515,0.3362,0.0,0.0,1.32,2.40715225,1.7424000000000002,1,0.2804
STX,Technology,8.5153,0.0383,0.106,0.300786838,0.7099,6.241071429,1.188522848,2.8943,0.0327,0.0917,0.0446,1.351,8.37697249,1.8252009999999999,1,0.7099
RTN,Industrials,11.6519,0.0675,0.108,0.276627984,0.2536,7.423319616,0.82822161,0.497,0.0303,0.0,0.0278,1.434,0.247009,2.0563559999999996,1,0.2536
M,Consumer Cyclical,4.0776,-0.0374,0.063,0.39127471,0.2726,3.737859712,1.273502528,1.024,0.014,0.0,0.0643,1.476,1.048576,2.178576,1,0.2726
CY,Technology,13.4254,0.067,0.143,0.375006039,0.1676,8.777253998,0.672541404,0.4165,0.0254,0.1465,0.0346,1.638,0.17347225,2.6830439999999998,1,0.1676
BAH,Industrials,12.1765,0.0616,0.049,0.233481419,0.5363,40.47937833,1.710078054,3.2331,0.0127,0.0,0.0185,1.45,10.452935609999999,2.1025,1,0.5363
TPR,Consumer Cyclical,14.7102,0.3101,0.068,0.654506803,0.1225,6.641066185,0.880463591,0.4933,0.0455,0.0,0.0292,2.593,0.24334489,6.723649,1,0.1225
LKQ,Consumer Cyclical,10.3687,0.2198,0.04,0.385196815,0.1004,9.733686183,1.04241683,0.9013,0.0187,0.0,0.0,2.675,0.81234169,7.155624999999999,1,0.1004
CENX,Basic Materials,19.1018,0.1914,-0.035,-0.012095922,-0.0869,1.957200455,1.231349593,0.367,0.0438,0.0,0.0,2.259,0.134689,5.1030809999999995,0,-0.0
LULU,Consumer Cyclical,15.9308,0.13,0.098,0.528008468,0.162,5.593213862,1.325595965,0.0,0.0596,0.0,0.0,4.909,0.0,24.098280999999997,1,0.162
STLD,Basic Materials,3.9762,0.2393,0.106,0.196484997,0.3198,4.013161598,1.534593668,0.604,0.0202,0.0,0.025,3.957,0.364816,15.657848999999999,1,0.3198
CNP,Utilities,9.0381,0.1014,0.031,0.195863632,0.0457,0.753987468,0.3920545,1.2118,0.1559,0.0,0.0394,2.127,1.46845924,4.524128999999999,1,0.0457
ALXN,Healthcare,31.3308,0.1634,0.019,0.909396785,0.0085,2.807475365,0.296528112,0.3499,0.0516,0.1768,0.0,2.883,0.12243000999999999,8.311689,1,0.0085
AWI,Basic Materials,9.4501,0.0914,0.191,0.341946068,0.8226,1.946706587,0.530544525,3.6274,0.0737,0.0,0.003,1.306,13.15803076,1.7056360000000002,1,0.8226
MNST,Consumer Defensive,19.4473,0.13,0.261,0.602906401,0.275,15.66413222,0.841014948,0.0,0.0186,0.0,0.0,3.001,0.0,9.006001,1,0.275
GTN,Consumer Cyclical,5.2017,0.2282,0.194,0.449879719,0.1776,2.986589532,0.257330169,2.1474,0.0645,0.0,0.0,5.82,4.611326760000001,33.872400000000006,1,0.1776
CDE,Basic Materials,12.1459,-0.1179,-0.077,0.090239078,-0.0568,0.49283081,0.365491387,0.5382,0.2249,0.0406,0.0,1.845,0.28965924000000004,3.404025,0,-0.0
SJM,Consumer Defensive,12.1522,-0.0048,0.182,0.385491566,0.1696,4.254872477,0.480818498,0.6123,0.0419,0.0,0.0271,1.504,0.37491128999999995,2.262016,1,0.1696
ETN,Industrials,10.2414,0.0591,0.099,0.328474247,0.1332,6.23276608,0.69500193,0.4669,0.0261,0.027,0.0385,1.473,0.21799560999999998,2.1697290000000002,1,0.1332
KAR,Consumer Cyclical,5.3407,0.0901,0.087,0.431584253,0.224,5.974009509,0.523105104,1.8217,0.0524,0.0,0.0775,1.263,3.3185908900000003,1.5951689999999998,1,0.224
PXD,Energy,7.9832,0.7259,0.104,0.461603824,0.0808,0.634476717,0.525889516,0.1886,0.4018,0.0121,0.0024,1.419,0.03556996,2.013561,1,0.0808
ADM,Consumer Defensive,7.3954,0.0578,0.028,0.064981893,0.0953,6.46448307,1.575710822,0.4416,0.0131,0.0,0.0327,1.748,0.19501056,3.055504,1,0.0953
DKS,Consumer Cyclical,4.2464,0.0844,0.038,0.289746594,0.1666,5.121485209,2.043434027,0.0336,0.0552,0.0,0.0228,1.408,0.0011289599999999998,1.9824639999999998,1,0.1666
LRCX,Technology,7.2636,0.3823,0.215,0.466284457,0.3662,12.27304284,0.887617094,0.3717,0.0247,0.1074,0.0149,2.904,0.13816088999999998,8.433216,1,0.3662
NXPI,Technology,6.3932,0.0163,0.235,0.515679813,0.2102,3.861658456,0.436925221,0.7,0.0648,0.1807,0.0063,1.544,0.48999999999999994,2.3839360000000003,1,0.2102
CE,Basic Materials,7.6509,0.1653,0.169,0.275611461,0.4045,1.923904275,0.768280898,1.1833,0.0471,0.0101,0.0231,1.616,1.40019889,2.6114560000000004,1,0.4045
HUN,Basic Materials,7.3984,0.1222,0.036,0.215907879,0.1337,3.985975351,1.179303408,0.9206,0.0334,0.0162,0.0337,1.836,0.84750436,3.370896,1,0.1337
GPK,Consumer Cyclical,7.4556,0.3677,0.037,0.157064586,0.14,1.859122758,0.853212829,1.8722,0.0656,0.0,0.0282,1.505,3.5051328400000004,2.2650249999999996,1,0.14
TJX,Consumer Cyclical,10.1989,0.0808,0.073,0.288933336,0.5066,7.164259747,2.551189766,0.4333,0.0295,0.0,0.0158,1.656,0.18774889000000003,2.742336,1,0.5066
KSS,Consumer Cyclical,5.5994,0.0205,0.043,0.393746266,0.1585,2.583815773,1.500037344,0.833,0.0335,0.0,0.036,1.986,0.693889,3.944196,1,0.1585
ATI,Industrials,7.9386,0.1479,0.055,0.155760391,0.1179,1.634989899,0.735504744,0.8178,0.0344,0.0,0.0,2.685,0.66879684,7.209225,1,0.1179
VFC,Consumer Cyclical,17.565,0.0314,0.097,0.505335741,0.2174,12.03754941,1.193611601,0.4693,0.0044,0.0,0.0256,2.405,0.22024248999999999,5.784024999999999,1,0.2174
HON,Industrials,11.5764,0.0313,0.162,0.305152863,0.3721,7.893126888,0.723555986,0.8919,0.0194,0.0,0.0715,1.287,0.7954856100000001,1.6563689999999998,1,0.3721
GOOGL,Technology,14.1441,0.2342,0.225,0.564760742,0.173,2.291046401,0.587730678,0.0226,0.183,0.1565,0.0,3.919,0.00051076,15.358561,1,0.173
AMGN,Healthcare,9.9878,0.0393,0.353,0.827304502,0.6715,4.789632916,0.357549386,2.7143,0.0311,0.1574,0.0271,2.789,7.367424490000001,7.7785210000000005,1,0.6715
IVZ,Financial Services,9.1182,0.0298,0.166,1.0,0.1029,11.33795605,0.171542107,0.89,0.0193,0.0,0.0711,1.44,0.7921,2.0736,1,0.1029
DG,Consumer Defensive,12.3489,0.0675,0.066,0.307671985,0.2512,8.688825158,1.87514052,0.4907,0.0275,0.0,0.0105,1.433,0.24078649000000002,2.0534890000000003,1,0.2512
PDCO,Healthcare,10.1824,-0.0228,0.037,0.219435705,0.1375,18.80891634,1.574369812,0.6941,0.0079,0.0,0.0447,1.952,0.48177481000000005,3.810304,1,0.1375
GME,Consumer Cyclical,3.903,0.0731,0.004,0.290730189,0.0157,24.35071225,1.695314979,0.3693,0.0133,0.0,0.0971,1.563,0.13638249000000002,2.4429689999999997,1,0.0157
TIF,Consumer Cyclical,12.8457,0.042,0.089,0.626097175,0.1145,4.209793034,0.762568351,0.3104,0.0574,0.0,0.0183,5.496,0.09634816,30.206016000000005,1,0.1145
NOV,Energy,13.6644,0.1573,-0.004,0.170826925,-0.0022,3.022166607,0.427005456,0.1962,0.0289,0.0,0.0078,3.109,0.038494440000000005,9.665881,0,-0.0
CNDT,Industrials,17.2713,-0.1045,-0.077,0.224550343,-0.1291,16.44207317,0.807335329,0.4863,0.0391,0.002,0.0,1.641,0.23648769,2.692881,0,-0.0
MTZ,Industrials,6.9123,0.0458,0.038,0.140403886,0.1868,9.239560154,1.556191473,1.0122,0.0204,0.0,0.0,1.69,1.02454884,2.8560999999999996,1,0.1868
WEN,Consumer Cyclical,7.377,0.0,0.289,0.518238994,0.7096,1.31079967,0.370456664,4.294,0.0439,0.0,0.0218,2.343,18.438435999999996,5.489649,1,0.7096
GPS,Consumer Cyclical,5.5175,0.0218,0.053,0.382592242,0.2697,5.652406417,1.98460383,0.3973,0.0461,0.0,0.0301,1.856,0.15784729,3.4447360000000002,1,0.2697
WDR,Financial Services,2.1727,0.0027,0.158,1.0,0.2078,18.29291018,0.863268454,0.1074,0.0022,0.0,0.0553,3.269,0.01153476,10.686361000000002,1,0.2078
FTV,Technology,7.2407,0.121,0.446,0.514714771,0.4418,11.20065961,0.499992251,0.5201,0.0174,0.0642,0.0041,1.447,0.27050401,2.0938090000000003,1,0.4418
CTSH,Technology,9.925,0.0888,0.13,0.389891473,0.1839,11.56743185,1.013322441,0.0652,0.0234,0.0,0.0126,3.125,0.004251039999999999,9.765625,1,0.1839
CF,Basic Materials,9.1403,0.0724,0.065,0.20704448,0.098,0.513626348,0.349814391,1.5882,0.0894,0.0,0.0276,1.807,2.5223792400000002,3.265249,1,0.098
LYB,Basic Materials,5.7936,0.1311,0.12,0.166008615,0.4572,3.126071972,1.379305467,0.9152,0.054,0.0029,0.0481,1.917,0.8375910400000001,3.6748890000000003,1,0.4572
AEO,Consumer Cyclical,5.7339,0.0514,0.054,0.361082152,0.1638,5.240740971,2.089699848,0.0,0.0446,0.0,0.0292,1.996,0.0,3.984016,1,0.1638
VMC,Basic Materials,14.3959,0.1266,0.118,0.251192769,0.0991,1.034352479,0.445770042,0.5598,0.102,0.0,0.0113,1.791,0.31337603999999997,3.2076809999999996,1,0.0991
ANTM,Healthcare,9.3482,0.0229,0.041,0.219423484,0.1314,33.67641682,1.286903914,0.6731,0.0131,0.0,0.0114,1.563,0.45306361000000006,2.4429689999999997,1,0.1314
SFIX,Consumer Cyclical,38.3755,0.2552,0.037,0.437032054,0.1425,35.89525593,2.546808975,0.0,0.0135,0.0,0.0,2.932,0.0,8.596624,1,0.1425
IP,Consumer Cyclical,7.57,0.0719,0.086,0.332575302,0.2733,1.730343752,0.694126757,2.3026,0.0665,0.0,0.0477,1.49,5.30196676,2.2201,1,0.2733
DAN,Consumer Cyclical,3.7012,0.1296,0.052,0.142085227,0.3175,4.401621622,1.375971612,1.3257,0.0399,0.0,0.0293,1.664,1.7574804900000003,2.768896,1,0.3175
ZBH,Healthcare,27.9111,0.0166,-0.048,0.713610407,-0.0336,3.936141709,0.328800338,0.793,0.0553,0.0494,0.0093,1.829,0.6288490000000001,3.3452409999999997,0,-0.0
LPX,Basic Materials,4.0089,0.0344,0.14,0.263083451,0.2321,2.638059701,1.124900557,0.2071,0.0757,0.0,0.0234,4.912,0.042890410000000004,24.127744,1,0.2321
GRUB,Technology,41.446,0.4746,0.078,0.548952253,0.0544,8.42928156,0.487608607,0.237,0.0854,0.0817,0.0,1.63,0.056169,2.6569,1,0.0544
BG,Consumer Defensive,8.9003,-0.0011,0.005,0.049537634,0.0433,8.795039415,2.354851995,0.8702,0.0108,0.0,0.0359,1.543,0.7572480399999999,2.380849,1,0.0433
PWR,Industrials,7.3437,0.1801,0.026,0.132477662,0.0814,8.754814143,1.578824094,0.3069,0.0247,0.0,0.0013,1.842,0.09418761,3.392964,1,0.0814
NTCT,Technology,16.4174,-0.1509,0.081,0.724454214,0.0386,18.79200548,0.292936133,0.29,0.0163,0.218,0.0,1.82,0.0841,3.3124000000000002,1,0.0386
NEM,Basic Materials,8.9682,-0.0171,0.047,0.435681787,0.0325,0.591695219,0.350132754,0.4057,0.1423,0.0483,0.0162,2.953,0.16459249,8.720208999999999,1,0.0325
PBH,Consumer Defensive,15.0365,0.1804,0.326,0.553704022,0.2881,19.81235728,0.276864244,1.6909,0.012,0.0,0.0,2.463,2.8591428100000003,6.066369000000001,1,0.2881
LLY,Healthcare,23.2158,0.0736,0.132,0.738146337,0.3288,3.070959593,0.559248344,1.0478,0.0492,0.2161,0.0195,1.729,1.09788484,2.9894410000000002,1,0.3288
KLAC,Technology,9.5142,0.16,0.199,0.64177654,0.4951,14.09925395,0.715902422,1.3807,0.0166,0.1507,0.0243,3.746,1.90633249,14.032516,1,0.4951
HSIC,Healthcare,11.5278,0.0594,0.041,0.272313692,0.181,42.014999,1.553079591,0.6551,0.0069,0.0,0.0,1.297,0.42915601000000003,1.6822089999999998,1,0.181
HLX,Energy,6.198,0.2725,0.039,0.164478291,0.0177,0.404992487,0.315120563,0.2722,0.1853,0.0,0.0,2.355,0.07409284,5.546025,1,0.0177
GCP,Basic Materials,10.2461,0.0378,0.014,0.364226053,0.0317,4.999555753,0.877915594,0.7441,0.0489,0.0179,0.0,2.462,0.55368481,6.061444000000001,1,0.0317
STZ,Consumer Defensive,17.6336,0.0354,0.304,0.502948432,0.2888,1.582625217,0.369073992,1.2773,0.1395,0.0,0.0097,1.703,1.6314952900000002,2.9002090000000003,1,0.2888
GIII,Consumer Cyclical,11.4537,0.1762,0.022,0.375761417,0.0554,28.68407983,1.465628503,0.3489,0.0123,0.0,0.0,2.764,0.12173120999999999,7.639695999999999,1,0.0554
USFD,Consumer Defensive,10.2726,0.0012,0.017,0.17811789,0.126,13.12432139,2.631722186,1.1192,0.0096,0.0,0.0,1.435,1.2526086399999998,2.059225,1,0.126
QRVO,Technology,11.0327,-0.0195,-0.014,0.385724605,-0.0084,2.163969167,0.465960534,0.2059,0.0907,0.1497,0.0,4.178,0.04239481,17.455683999999998,0,-0.0
EVR,Financial Services,3.8234,0.2114,0.183,1.0,0.4976,25.4684898,0.971321002,0.2555,0.0161,0.0,0.0266,1.976,0.06528025,3.904576,1,0.4976
HMHC,Consumer Defensive,7.4918,-0.0035,-0.071,0.451430978,-0.1225,10.50162398,0.530000513,0.9937,0.0406,0.0,0.0,1.448,0.9874396900000001,2.096704,0,-0.0
KMT,Industrials,8.1755,0.1504,0.085,0.346357227,0.1676,2.872865388,0.809318473,0.8303,0.0662,0.0,0.0225,1.744,0.6893980900000001,3.041536,1,0.1676
HP,Energy,12.0546,0.3782,0.194,0.335572202,0.1101,0.512059377,0.400212587,0.1127,0.1876,0.0073,0.0401,2.958,0.012701289999999999,8.749764,1,0.1101
FLR,Industrials,5.991,-0.0182,0.012,0.03495268,0.0759,25.69448965,2.150255726,0.5698,0.0068,0.0,0.0261,1.532,0.32467204,2.347024,1,0.0759
JHG,Financial Services,3.8155,0.2684,0.227,1.0,0.1082,33.18561151,0.333685383,0.0659,0.0126,0.0,0.0676,2.772,0.00434281,7.683983999999999,1,0.1082
FDX,Industrials,10.0474,0.0851,0.07,0.62631016,0.2355,2.324714073,1.250716606,0.8826,0.0865,0.0,0.008,1.386,0.7789827600000001,1.9209959999999997,1,0.2355
EMN,Basic Materials,7.5433,0.063,0.106,0.244212393,0.1861,1.812678571,0.634635824,1.0629,0.052,0.0232,0.0315,1.818,1.12975641,3.305124,1,0.1861
BAX,Healthcare,14.5691,0.0536,0.146,0.429675564,0.2084,2.449801849,0.711399527,0.4461,0.0612,0.0589,0.0111,2.087,0.19900521,4.355569000000001,1,0.2084
CARS,Consumer Cyclical,11.3603,0.0573,0.059,0.860499572,0.0239,15.96179066,0.254610469,0.4254,0.0215,0.1117,0.0,1.39,0.18096516,1.9320999999999997,1,0.0239
TEL,Technology,11.2828,0.148,0.183,0.339219331,0.2368,4.0,0.686157167,0.3693,0.0652,0.0486,0.0191,1.406,0.13638249000000002,1.9768359999999998,1,0.2368
