Company_symbol,Sector,Enterprise_Value_over_EBITDA,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,fixedAssetTurnover,assetTurnover,Debt_to_Equity,Capex_to_Revenue,R&D_to_Revenue,Dividend_Yield,currentRatio
LOW,Consumer Cyclical,13.12,0.0554,0.05,0.326935688,0.5869,3.47948887,1.944376753,2.8938,0.0157,0.0,0.0156,1.056
RAD,Consumer Defensive,2.734,-0.061,0.044,0.222031311,0.5893,15.04211575,2.394947697,2.1184,0.0086,0.0,0.0,1.367
SLB,Energy,9.416,0.078,0.065,0.132165168,0.0591,2.809743985,0.465414782,0.4439,0.0689,0.0214,0.0554,1.166
FLEX,Technology,8.261,0.0661,0.017,0.062728422,0.142,11.36015309,1.854870221,0.9742,0.0203,0.0,0.0,1.262
FOXA,Consumer Cyclical,9.3765,0.0234,0.215,0.359302669,0.228,8.685201027,0.773797729,0.0,0.0212,0.0,0.0,3.172
ABBV,Healthcare,21.0859,0.1608,0.174,0.764357463,-0.6733,11.36073535,0.55184324,-4.7727,0.0195,0.3154,0.0389,0.983
GIS,Consumer Defensive,12.4623,0.0077,0.135,0.345327946,0.347,3.889207353,0.513989028,2.5759,0.0395,0.0,0.0461,0.562
VZ,Communication Services,8.2863,0.0383,0.119,0.575831213,0.2922,1.46566091,0.494141503,2.1274,0.1273,0.0,0.0422,0.913
XRX,Technology,7.7399,-0.0424,0.037,0.399491353,0.0721,10.44633369,0.660884765,1.045,0.0092,0.0404,0.0506,1.444
X,Basic Materials,2.8051,0.1574,0.079,0.13210608,0.2653,2.914285714,1.291021672,0.5666,0.0699,0.0,0.011,1.511
CTL,Communication Services,9.0539,0.3278,-0.074,0.536663396,-0.0874,0.887723417,0.333679686,1.8187,0.1287,0.0,0.1426,0.691
MIK,Consumer Cyclical,8.1083,0.0317,0.073,0.397016949,-0.2587,12.76596353,2.331069052,-1.8063,0.0238,0.0,0.0,1.751
DVN,Energy,2.3014,0.2091,0.285,0.386249301,0.3336,1.070616397,0.548604722,0.4849,0.1391,0.0165,0.0133,1.993
MPC,Energy,9.2058,0.2884,0.029,0.113653684,0.079,2.155044609,1.04478158,0.7825,0.0363,0.0,0.0312,1.364
PM,Consumer Defensive,10.7366,0.0221,0.099,0.236360447,-0.635,11.0849882,2.005552624,-2.5491,0.018,0.0,0.0673,1.131
MSCI,Financial Services,17.2649,0.1254,0.354,0.799624682,-3.0505,15.77939413,0.423259834,-15.469,0.0341,0.0568,0.013,1.774
KO,Consumer Defensive,22.823,-0.1004,0.202,0.630524862,0.3789,3.319024797,0.382810998,2.6037,0.0346,0.0,0.0329,0.866
SRC,Real Estate,11.8161,0.0322,0.273,0.952673968,0.0471,0.107090015,0.087342504,0.7333,0.484,0.0,0.2109,0.770811366
COP,Energy,4.7619,0.1885,0.162,0.469233351,0.1959,0.847455031,0.553400972,0.4686,0.1743,0.0095,0.0186,1.795
CHK,Energy,3.8624,0.0774,0.076,0.294399374,0.4173,0.945738584,0.803376521,3.6912,-0.0108,0.0,0.0,0.554
DIS,Consumer Cyclical,10.6243,0.0779,0.212,0.449372413,0.2583,2.011983751,0.602791132,0.428,0.0751,0.0,0.0145,0.942
CVX,Energy,5.6991,0.1737,0.089,0.278647822,0.0959,0.983050347,0.655231365,0.223,0.0685,0.0073,0.0412,1.252
PYPL,Financial Services,28.3773,0.18,0.133,0.460423274,0.1337,8.962296984,0.35657251,0.1299,0.0531,0.0693,0.0,1.273
WMT,Consumer Defensive,13.0127,0.0298,0.02,0.253719948,0.1266,4.357705238,2.446401854,0.597,0.0193,0.0,0.0191,0.76
CLF,Basic Materials,4.0311,0.2499,0.484,0.347110273,2.6594,1.813685848,0.660811423,4.9338,0.127,0.0,0.0,3.16
MRK,Healthcare,16.2259,0.0541,0.147,0.680592992,0.233,3.182153337,0.51180464,0.9406,0.0618,0.2306,0.026,1.165
MDLZ,Consumer Defensive,13.7592,0.0016,0.13,0.399105559,0.1319,3.058005187,0.413492962,0.7166,0.0269,0.0,0.024,0.454
MGM,Consumer Cyclical,10.767,0.0894,0.04,0.411815138,0.0717,0.567446192,0.389368458,2.345,0.1242,0.0,0.0198,0.857
SCHW,Financial Services,1.5118,0.1757,0.329,1.0,0.1697,5.727529678,0.034174081,0.3328,0.0563,0.0,0.0111,0.319468941
NBR,Energy,7.1546,0.1881,-0.214,0.351412231,-0.2373,0.5574604,0.388100679,1.3279,0.1506,0.0184,0.12,1.915
SRCI,Energy,3.8198,0.781,0.403,0.826132479,0.1639,0.256338984,0.234376781,0.4629,1.1081,0.0,0.0,0.657
JAG,Energy,4.8589,1.1759,0.284,0.867534093,0.1745,0.380088676,0.329144081,0.5524,1.2606,0.0,0.0,1.07
NVDA,Technology,41.8065,0.4058,0.314,0.599341157,0.4078,9.743229689,0.864157993,0.2677,0.0608,0.185,0.0023,8.027
JNJ,Healthcare,14.1293,0.0,0.188,0.669212194,0.256,4.789022601,0.561411839,0.5101,0.045,0.1321,0.0274,1.474
WDC,Technology,6.0891,0.0814,0.033,0.373177701,0.0585,6.671082391,0.706242518,0.9689,0.0392,0.1162,0.0258,2.387
BSX,Healthcare,21.8277,0.0857,0.17,0.713631274,0.1915,5.512345679,0.46778418,0.8086,0.0307,0.1133,0.0,0.761
STI,Financial Services,9.3508,0.0498,0.296,1.0,0.1143,4.449110672,0.041778207,0.982,0.0383,0.0,0.0357,0.095227358
ON,Technology,6.2229,0.0605,0.107,0.3808414,0.1978,2.305577345,0.774724551,0.8721,0.0807,0.1107,0.0,2.156
APA,Energy,4.8659,0.2482,0.005,0.331790964,0.0056,0.398892568,0.340468909,1.1562,0.5125,0.0,0.0381,1.221
HOME,Consumer Cyclical,17.7139,0.2415,0.033,0.322934201,0.0538,2.038609111,0.691674895,0.804,0.1791,0.0,0.0,0.876
KOS,Energy,9.498,0.417,-0.104,0.750958865,-0.0998,0.260822828,0.220725852,2.2524,1.3116,0.3341,0.0,1.326
DAL,Industrials,6.3117,0.0802,0.089,0.596178946,0.2875,1.29447406,0.737364351,1.2075,0.1163,0.0,0.0263,0.341
CCL,Consumer Cyclical,9.7954,0.0783,0.167,0.412690006,0.129,0.534327598,0.445296102,0.4223,0.178,0.0,0.0323,0.242
DISCA,Consumer Cyclical,9.392,0.5354,0.056,0.62712025,0.0708,13.19125,0.324208909,2.0025,0.0139,0.0,0.0,1.059
LPI,Energy,2.9781,0.345,0.294,0.598475278,0.2764,0.502708404,0.456874237,0.8377,0.6202,0.0,0.0,0.962
ABT,Healthcare,20.3274,0.1164,0.077,0.584472497,0.0771,4.043104588,0.45521266,0.6369,0.0456,0.0752,0.0155,1.624
FITB,Financial Services,9.4943,-0.0101,0.316,1.0,0.135,2.813366961,0.045820811,1.0415,0.0115,0.0,0.0314,0.062578363
PTEN,Energy,5.2031,0.4117,-0.097,0.301056478,-0.0917,0.831219555,0.608241043,0.3193,0.1786,0.0,0.0135,1.805
USB,Financial Services,11.833,0.0411,0.321,1.0,0.1391,8.604802605,0.045235721,1.0872,0.0,0.0,0.0293,0.070997578
BA,Industrials,13.276,0.0758,0.103,0.194181574,30.8555,7.997390273,0.861689346,40.8466,0.0158,0.0323,0.0212,1.076
JBLU,Industrials,8.1669,0.0921,0.025,0.602115435,0.0401,0.847217613,0.698786386,0.5552,0.1455,0.0,0.0,0.55
EBAY,Consumer Cyclical,9.1752,0.0825,0.235,0.778336125,0.4028,6.728866625,0.470923353,1.4697,0.0606,0.1196,0.0,1.6
HBAN,Financial Services,9.6735,0.0407,0.309,1.0,0.1255,5.411392405,0.039299142,0.9586,0.0257,0.0,0.0419,0.044156111
MRVL,Technology,13.7973,0.047,0.216,0.606823097,0.1258,11.91349111,0.511687159,0.0,0.0135,0.2966,0.0112,5.613
WBA,Healthcare,9.7112,0.1127,0.038,0.234093829,0.1932,9.455610668,1.930846691,0.5536,0.0104,0.0,0.0239,0.824
KNX,Industrials,5.1024,1.2033,0.078,0.523001587,0.0768,2.045311667,0.675447886,0.1701,0.0992,0.0,0.0096,1.476
KBH,Consumer Cyclical,9.0467,0.0409,0.037,0.176617912,0.0816,187.2504221,0.896213338,0.987,0.0016,0.0,0.0047,2.796365915
PGR,Financial Services,10.515,0.1915,0.081,0.320773007,0.2417,28.25748873,0.68661299,0.407,0.008,0.0,0.0186,0.503388051
MO,Consumer Defensive,11.4595,-0.0083,0.275,0.48312569,0.4709,13.0877193,0.455875481,1.7411,0.0094,0.0,0.0607,0.203
MDT,Healthcare,13.1632,0.0082,0.104,0.697292425,0.0612,6.505864466,0.327738448,0.5078,0.0357,0.0753,0.0226,2.279
CDEV,Energy,6.0806,1.0727,0.224,0.841829537,0.0645,0.218004287,0.209164462,0.225,1.1993,0.0112,0.0,0.526
DNR,Energy,4.9208,0.3043,0.219,0.631834422,0.2826,0.341226691,0.31199571,2.4255,0.2296,0.0,0.0,0.812
EOG,Energy,6.9559,0.5413,0.198,0.555716484,0.1766,0.615318955,0.50908109,0.3142,0.3517,0.0086,0.0087,1.356
HPE,Technology,9.023,0.0686,0.062,0.310190587,0.0898,5.026392962,0.555962013,0.5716,0.0604,0.0539,0.0246,1.004
TXN,Technology,11.7973,0.055,0.354,0.651102382,0.6204,4.958843858,0.921048025,0.5635,0.0717,0.0988,0.0278,3.273
OAS,Energy,5.7995,0.7948,-0.015,0.542530471,-0.0095,0.330427065,0.304472038,0.7324,0.3513,0.0118,0.0,0.906
OKE,Energy,13.0928,0.0344,0.091,0.243509749,0.175,0.852813275,0.690731859,1.43,0.1701,0.0,0.0601,0.663
CVS,Healthcare,19.8072,0.053,-0.003,0.162083267,-0.0102,17.1450348,0.990445698,1.2611,0.0105,0.0,0.0305,1.028
HES,Energy,6.8421,0.1994,-0.051,0.524280854,-0.0293,0.402039421,0.301684319,0.6929,0.3243,0.056,0.0247,2.024
GDDY,Technology,32.066,0.1919,0.029,0.663960002,0.0973,8.896655518,0.43727192,3.0413,0.033,0.1632,0.0,0.757
OXY,Energy,5.3767,0.4264,0.218,0.419879582,0.1937,0.602283933,0.43175081,0.4837,0.2599,0.0058,0.0505,1.34
MTG,Financial Services,4.6671,0.0542,0.596,0.967467131,0.1871,21.72358604,0.197937159,0.2322,0.0127,0.0,0.0,0.444193819
LUV,Industrials,5.7438,0.0387,0.112,0.678716139,0.2502,1.12496799,0.836985101,0.3427,0.0875,0.0,0.013,0.636
AA,Basic Materials,3.1228,0.1503,0.017,0.247854958,0.0404,1.609583283,0.830833127,0.3208,0.0298,0.0023,0.0,1.483
EQR,Real Estate,17.736,0.0433,0.254,0.658849519,0.0646,0.13012706,0.126429713,0.8668,0.1436,0.0,0.0327,0.088929929
UNH,Healthcare,13.3598,0.1247,0.053,0.237996526,0.2319,26.74946796,1.486306094,0.7071,0.0091,0.0,0.0138,0.727
ECA,Energy,3.1031,0.3367,0.18,0.531234215,0.1435,0.661948284,0.38705683,0.5637,0.3325,0.0,0.0104,1.327
GES,Consumer Cyclical,6.9167,0.0791,-0.003,0.35064901,-0.0086,8.033039483,1.427703224,0.0459,0.0358,0.0,0.0597,2.37
AMZN,Technology,25.9138,0.3093,0.043,0.402474161,0.2313,3.768580999,1.431846687,0.7611,0.0486,0.1238,0.0,1.098
NFLX,Communication Services,13.2519,0.3508,0.077,0.368917133,0.2312,37.76012059,0.608073372,1.9776,0.0135,0.0774,0.0,1.494
ENTG,Technology,10.582,0.1549,0.155,0.464258235,0.2379,3.695804104,0.668997916,0.9277,0.071,0.0764,0.01,3.817
CSX,Industrials,10.5371,0.0738,0.27,0.389632653,0.263,0.382836427,0.333523918,1.1731,0.1164,0.0,0.0142,1.339
WYNN,Consumer Cyclical,17.8249,0.1067,0.085,0.391711548,0.2814,0.715716733,0.508287172,4.6325,0.2385,0.0,0.0278,1.403
CNC,Healthcare,10.9853,0.2425,0.015,0.14007918,0.0824,35.23798359,1.945438659,0.6124,0.0112,0.0,0.0,1.002
ZION,Financial Services,9.2475,0.0913,0.301,1.0,0.1167,2.509786477,0.041035115,0.8415,0.0457,0.0,0.0255,0.049203084
RES,Energy,5.157,0.0788,0.102,0.312583055,0.1846,3.322518929,1.434672969,0.0,0.141,0.0,0.0476,4.321
CI,Healthcare,17.383,0.1637,0.054,0.335642343,0.0643,10.66418238,0.317504862,1.0353,0.0109,0.0,0.0002,0.641
WMB,Energy,17.0636,0.0816,-0.018,0.499078978,-0.0106,0.31580861,0.191735464,1.5289,0.3283,0.0,0.0617,0.808
SYNH,Healthcare,14.5863,0.643,0.006,0.21771771,0.0085,23.9261633,0.60512351,0.99,0.0124,0.0,0.0,0.993
HBI,Consumer Cyclical,8.2884,0.0514,0.081,0.390437473,0.57,11.19646101,0.937705951,4.1025,0.0127,0.0,0.0479,1.733
BBT,Financial Services,12.6841,0.0206,0.279,1.0,0.1073,5.1898017,0.048702464,0.9572,0.0,0.0,0.036,0.035338434
PAYX,Industrials,15.993,0.0713,0.294,0.698552269,0.4218,8.583735705,0.426725118,0.0,0.0456,0.0,0.0314,1.113
CELG,Healthcare,9.5108,0.1752,0.265,0.961586284,0.6567,11.17849305,0.430693348,3.2901,0.0216,0.3712,0.0,2.235
D,Utilities,11.9847,0.062,0.183,0.420769116,0.1217,0.244978006,0.171548117,1.7494,0.3296,0.0,0.0467,0.675
CHS,Consumer Cyclical,4.3316,-0.0784,0.044,0.378892813,0.1539,5.420838499,2.098536693,0.1045,0.0213,0.0,0.0354,1.927
CFG,Financial Services,10.1336,0.0772,0.292,1.0,0.0813,7.335018963,0.036145479,0.8283,0.0808,0.0,0.033,0.048037106
MMM,Industrials,14.4369,0.035,0.163,0.490859148,0.546,3.749713893,0.897671233,1.4927,0.0401,0.0556,0.0286,1.892
BIIB,Healthcare,9.1706,0.0961,0.329,0.864988218,0.3398,3.735671443,0.531968571,0.4553,0.0575,0.1931,0.0,2.319
JBL,Technology,4.8189,0.1591,0.004,0.07724643,0.0443,6.909101143,1.834308029,1.2915,0.0311,0.0017,0.0108,1.044
ACN,Technology,16.5203,0.1331,0.099,0.304771693,0.3917,32.43028908,1.676649141,0.0024,0.0151,0.0,0.0157,1.338
SBUX,Consumer Cyclical,10.4024,0.1042,0.183,0.679172313,3.8634,4.169182507,1.023310593,8.0719,0.08,0.0,0.0227,2.198
PE,Energy,5.9455,0.8887,0.202,0.843844635,0.0663,0.206987125,0.194479864,0.3918,0.977,0.089,0.0,0.833
LVS,Consumer Cyclical,11.072,0.0786,0.176,0.492024182,0.4245,0.839591487,0.608905841,2.1086,0.0677,0.0,0.0576,1.763
PAA,Energy,7.0423,0.2987,0.059,0.088063427,0.1846,2.303036451,1.334914351,0.7673,0.048,0.0,0.0599,1.022
VLO,Energy,5.8008,0.2453,0.027,0.047798484,0.1441,4.056884359,2.333426378,0.4204,0.0177,0.0,0.0427,1.648
IMAX,Consumer Cyclical,11.5773,-0.0167,0.061,0.555364435,0.0446,1.334011502,0.428572573,0.0737,0.1519,0.0367,0.0,2.231638418
FNB,Financial Services,13.296,0.1061,0.318,1.0,0.0809,3.475757576,0.034650474,1.0321,0.0305,0.0,0.0488,0.021286609
HD,Consumer Cyclical,15.6918,0.0667,0.086,0.340482042,5.9354,4.570962627,2.26602888,18.5887,0.0183,0.0,0.0174,1.169
AR,Energy,11.1432,0.1324,-0.096,0.613012142,-0.0519,0.298460805,0.266737691,0.7129,0.534,0.0012,0.0,0.945
ARNC,Industrials,6.6962,0.0813,0.046,0.18674183,0.1152,2.45687237,0.749692398,1.1358,0.0548,0.0073,0.0142,1.87
SM,Energy,2.76,0.8303,0.246,0.764223501,0.1741,0.354486968,0.3253765,0.8891,0.2844,0.0267,0.0065,0.921
DHI,Consumer Cyclical,8.3085,0.1403,0.091,0.228398058,0.1625,40.05983545,1.138395704,0.3566,0.0086,0.0,0.0118,4.172080166
UAL,Industrials,6.8501,0.0931,0.052,0.601312253,0.212,1.26459692,0.842505711,1.9704,0.1011,0.0,0.0,0.513
HRB,Consumer Cyclical,6.0545,0.0407,0.194,0.449440826,1.5574,13.62697078,1.006043396,3.7988,0.0312,0.0,0.0347,2.242
BTU,Basic Materials,4.5525,0.0005,0.098,0.270378731,0.0013,1.071980027,0.75188922,0.4026,0.054,0.0,0.0159,1.848
JBGS,Real Estate,18.0542,0.1863,0.062,0.659824397,0.0134,0.135878751,0.107412271,0.7149,0.5991,0.0,0.0287,3.484143036
IPG,Consumer Cyclical,9.6064,0.0737,0.064,0.14187186,0.2586,12.28271589,0.62190867,1.5603,0.0182,0.0,0.0407,1.007
DE,Industrials,11.1184,0.2562,0.063,0.315503899,0.2098,2.866393002,0.532859303,3.7434,0.0393,0.0444,0.0198,0.837762856
COG,Energy,9.0872,0.2403,0.255,0.646634049,0.2668,0.631754305,0.521132916,0.5872,0.4088,0.052,0.0112,1.896
IBM,Technology,8.2715,0.0057,0.11,0.464072571,0.5196,7.375,0.645077888,2.7276,0.0467,0.0676,0.0546,1.286
NYT,Consumer Cyclical,13.2785,0.0002,0.072,0.591766724,0.1208,2.737089202,0.845335911,0.2437,0.0443,0.0,0.0072,1.328
AAL,Industrials,8.6104,0.045,0.032,0.541995016,-8.355,1.029873523,0.735242654,-201.355,0.057,0.0,0.0125,0.477
OLN,Basic Materials,4.9977,0.1081,0.047,0.161817423,0.1158,1.994801987,0.772011915,1.1406,0.055,0.0,0.0398,1.527
JCI,Basic Materials,10.291,0.0247,0.092,0.327649573,0.1022,7.090909091,0.479537676,0.5164,0.0255,0.0,0.0296,1.051
VICI,Real Estate,14.1308,3.7864,0.583,0.889550623,0.0768,9.374531522,0.079233022,0.6047,0.0008,0.0,0.0531,1.605
VST,Utilities,11.0956,0.684,-0.006,0.449256343,-0.0069,0.625787024,0.351367968,1.4503,0.058,0.0,0.0,0.948
EPD,Energy,11.134,0.2494,0.114,0.140605241,0.1749,0.943119863,0.641290649,1.0975,0.1156,0.0,0.0697,0.846
KMB,Consumer Defensive,15.325,0.0075,0.076,0.302769664,-4.9129,2.582204218,1.273315884,-25.9756,0.0447,0.0,0.0351,0.771
AEP,Utilities,11.5833,0.05,0.119,0.311187537,0.1011,0.293937651,0.235393036,1.3273,0.3897,0.0,0.0339,0.476
IT,Technology,24.3926,0.2005,0.031,0.630532764,0.1439,14.85234902,0.641049854,2.6819,0.0319,0.0,0.0,0.691
CAT,Industrials,9.4127,0.2037,0.112,0.310715983,0.4366,4.031383527,0.697015629,2.5961,0.0362,0.0338,0.0258,1.368
MYL,Healthcare,9.3551,-0.0398,0.031,0.349976823,0.029,5.268592756,0.349287763,1.1394,0.022,0.0616,0.0,1.388
CMC,Basic Materials,8.9774,0.208,0.03,0.133979783,0.0927,4.319589633,1.395222011,0.7757,0.0359,0.0,0.0222,3.833
JCP,Consumer Cyclical,7.4006,-0.0035,-0.009,0.36238639,-0.0853,3.007007708,1.522711143,3.06,0.0307,0.0,0.0,1.457
TMUS,Communication Services,6.8291,0.0666,0.067,0.576217964,0.1168,1.854103343,0.597643098,1.1145,0.1279,0.0,0.0,0.807
NRG,Utilities,14.4907,0.0445,0.028,0.250052754,-0.2172,3.109580052,0.891795258,-6.0762,0.0409,0.0012,0.003,1.501
CPB,Consumer Defensive,23.0672,0.1333,0.039,0.35888133,0.1913,2.682481752,0.455296304,6.9765,0.0615,0.0138,0.0342,0.639
WRB,Financial Services,10.1058,0.0009,0.083,0.483244625,0.1178,18.47302652,0.308951563,0.52,0.0065,0.0,0.0283,0.373648818
TGT,Consumer Defensive,7.265,0.0348,0.04,0.296902935,0.2501,2.963563743,1.804183311,1.1434,0.0344,0.0,0.0345,0.961
GLW,Technology,9.3147,0.1161,0.094,0.395128432,0.0773,0.757972474,0.410470823,0.4349,0.2046,0.088,0.0238,2.124
MAS,Basic Materials,8.7107,0.0938,0.088,0.321689197,-6.6126,8.06075217,1.549972186,-26.8378,0.0245,0.0,0.0149,1.643
DOV,Industrials,11.7616,0.0251,0.082,0.366063044,0.206,8.669738387,0.835800789,1.1428,0.0236,0.0,0.0268,1.37
HRL,Consumer Defensive,16.7392,0.0413,0.106,0.209039987,0.1807,6.310789369,1.172360313,0.1116,0.0398,0.0,0.0176,1.8
S,Communication Services,4.5597,-0.0282,0.228,0.469388385,0.2804,1.626398996,0.379199382,1.5515,0.3362,0.0,0.0,1.32
AES,Utilities,6.8068,0.0196,0.112,0.239660954,0.375,0.501776033,0.33012515,6.0147,0.1976,0.0,0.036,1.14
PPL,Utilities,9.4596,0.0454,0.235,0.366345536,0.1567,0.225927216,0.179394414,1.8898,0.4159,0.0,0.0579,0.533
SEE,Consumer Cyclical,10.7074,0.0608,0.041,0.317387538,-0.5539,4.567361513,0.937131203,-9.9662,0.0356,0.0,0.0184,1.044
STX,Technology,8.5153,0.0383,0.106,0.300786838,0.7099,6.241071429,1.188522848,2.8943,0.0327,0.0917,0.0446,1.351
ADBE,Technology,38.1977,0.2367,0.287,0.867663572,0.2767,8.399444874,0.48112105,0.4406,0.0295,0.1703,0.0,1.129
K,Consumer Defensive,12.2223,0.0539,0.099,0.348859526,0.5136,3.630930046,0.76192351,3.4191,0.0427,0.0,0.0386,0.697
RTN,Industrials,11.6519,0.0675,0.108,0.276627984,0.2536,7.423319616,0.82822161,0.497,0.0303,0.0,0.0278,1.434
M,Consumer Cyclical,4.0776,-0.0374,0.063,0.39127471,0.2726,3.737859712,1.273502528,1.024,0.014,0.0,0.0643,1.476
TSLA,Consumer Cyclical,39.6421,0.8251,-0.045,0.18834027,-0.1983,1.089902392,0.721629724,2.4319,0.1081,0.068,0.0,0.831
CY,Technology,13.4254,0.067,0.143,0.375006039,0.1676,8.777253998,0.672541404,0.4165,0.0254,0.1465,0.0346,1.638
