company,Revenue_Growth,returnOnEquity,Profit_Margin,Debt_to_Equity,R_and_D_to_Revenue,Capex_to_Revenue,sector,cluster
obs_431,0.1743,0.1057,0.091,0.7361,0.1435,0.0217,Technology,4
obs_461,0.0861,0.1997,0.225,0.0,0.0897,0.02,Healthcare,4
obs_463,0.0734,0.2004,0.095,0.3804,0.0915,0.0257,Healthcare,4
obs_476,0.0341,0.3529,0.21,0.0,0.1694,0.0243,Technology,4
obs_484,0.0302,0.0389,0.058,0.0,0.1493,0.0674,Healthcare,4
obs_494,0.1083,0.1173,0.078,0.8101,0.0638,0.0547,Industrials,4
obs_503,0.2959,0.0327,0.04,0.5612,0.1363,0.0586,Technology,4
obs_510,-0.0137,0.1505,0.159,0.2248,0.0993,0.0173,Technology,4
obs_520,0.289,0.2205,0.147,0.7947,0.0726,0.0201,Technology,4
obs_531,0.3347,0.3194,0.204,0.0,0.0655,0.1136,Healthcare,4
obs_549,0.2049,0.3288,0.184,0.0,0.1357,0.0294,Technology,4
obs_551,0.1703,0.0559,0.085,0.7547,0.0783,0.0415,Sector_Base,4
obs_560,0.2128,0.045,0.048,0.4236,0.0674,0.0717,Healthcare,4
obs_566,0.5439,0.2291,0.137,0.0358,0.0878,0.0412,Technology,4
obs_567,0.0613,0.0596,0.05,0.0,0.123,0.0817,Technology,4
obs_568,0.1083,0.1832,0.076,0.9967,0.1417,0.0653,Technology,4
obs_570,0.1145,0.0946,0.051,0.0,0.0801,0.0163,Healthcare,4
obs_574,0.0831,0.2097,0.189,0.1857,0.0654,0.0303,Technology,4
obs_589,0.3019,0.2616,0.136,0.185,0.0417,0.0488,Consumer_Cyclical,4
obs_592,0.2361,0.1644,0.081,0.0,0.1287,0.0297,Technology,4
obs_599,0.0016,0.0939,0.039,0.0037,0.0779,0.0509,Technology,4
obs_617,0.0594,0.2759,0.248,0.0,0.0614,0.093,Industrials,4
obs_627,0.0879,0.072,0.112,0.0,0.0894,0.0349,Healthcare,4
obs_633,0.2288,0.0652,0.086,0.7052,0.1147,0.0374,Technology,4
obs_646,0.1516,0.1117,0.086,0.2405,0.0711,0.0717,Technology,4
obs_654,0.0801,0.0548,0.062,0.3406,0.1783,0.06,Technology,4
obs_663,0.1079,0.0645,0.036,0.9146,0.1073,0.0264,Healthcare,4
obs_672,0.0724,0.1667,0.207,0.0,0.1696,0.0461,Technology,4
obs_696,0.1785,0.1334,0.08,0.5631,0.0831,0.0234,Technology,4
obs_697,0.0206,0.138,0.179,0.0096,0.0952,0.0113,Healthcare,4
obs_699,0.0714,0.2423,0.205,0.0,0.1057,0.0283,Technology,4
obs_716,0.2973,0.1765,0.25,0.0117,0.0878,0.009,Technology,4
obs_722,0.1211,0.132,0.219,0.0,0.0778,0.0837,Healthcare,4
obs_723,0.207,0.053,0.083,0.2526,0.1192,0.0306,Technology,4
obs_726,-0.0141,0.0657,0.068,0.6408,0.1422,0.0181,Industrials,4
obs_733,0.2522,0.2748,0.287,0.0988,0.0964,0.0049,Technology,4
obs_752,0.1555,0.1985,0.081,0.0,0.056,0.0155,Technology,4
obs_755,0.3678,0.1948,0.187,1.5385,0.0785,0.0324,Technology,4
obs_756,0.1811,0.1583,0.324,0.0,0.1807,0.0168,Technology,4
obs_760,-0.0301,0.0301,0.062,0.1689,0.093,0.0091,Healthcare,4
obs_767,0.1187,0.1908,0.088,0.0,0.0945,0.056,Technology,4
obs_768,0.1333,0.3154,0.1,1.1918,0.1053,0.0152,Industrials,4
obs_772,0.1279,0.0748,0.096,0.0,0.089,0.0554,Technology,4
obs_775,0.3204,0.2016,0.063,2.467,0.101,0.0144,Financial_Services,4
obs_780,0.078,0.1124,0.104,0.117,0.1172,0.0107,Technology,4
obs_781,0.0638,0.136,0.112,0.2861,0.079,0.0197,Healthcare,4
obs_786,0.6339,-0.0736,-0.085,1.0921,0.094,0.0651,Technology,4
obs_792,0.0598,0.0909,0.16,0.1093,0.087,0.0548,Healthcare,4
obs_799,0.0275,-0.1476,-0.053,0.0722,0.1704,0.0435,Technology,4
obs_806,0.1421,0.1169,0.196,0.3142,0.086,0.0326,Healthcare,4
obs_809,0.2082,0.1601,0.205,0.0,0.191,0.0817,Technology,4
obs_815,0.0466,0.1762,0.217,0.0,0.0776,0.0289,Healthcare,4
obs_821,-0.0275,-0.0025,-0.001,1.3953,0.0983,0.0146,Technology,4
obs_823,0.1047,0.0555,0.048,0.1993,0.0824,0.0691,Technology,4
obs_831,0.0422,0.0835,0.045,0.7757,0.0704,0.0228,Technology,4
obs_833,0.0733,0.2534,0.219,0.0,0.1607,0.0593,Technology,4
obs_837,0.3949,0.062,0.08,0.786,0.1825,0.0922,Healthcare,4
obs_849,0.1761,0.0708,0.039,0.0,0.0625,0.0282,Technology,4
obs_852,0.4068,0.1113,0.096,0.47,0.0508,0.0379,Technology,4
obs_859,0.1122,0.1113,0.158,0.0,0.0676,0.0293,Technology,4
obs_863,0.5602,-0.0353,-0.024,0.7349,0.091,0.0081,Healthcare,4
obs_872,0.2935,0.1414,0.172,0.0,0.0645,0.1955,Industrials,4
obs_878,0.1399,0.0785,0.077,0.9278,0.0763,0.0285,Healthcare,4
obs_879,0.0362,0.1832,0.277,0.0206,0.0841,0.1091,Technology,4
obs_892,0.0506,0.1901,0.062,0.3478,0.059,0.0334,Consumer_Cyclical,4
obs_903,0.05,0.1205,0.083,0.0,0.0723,0.014,Industrials,4
obs_909,0.0126,0.1103,0.063,0.8203,0.1297,0.0035,Technology,4
obs_912,0.1183,0.0131,0.012,0.0,0.0984,0.032,Technology,4
obs_915,0.0367,0.0589,0.052,0.332,0.0944,0.0151,Technology,4
obs_916,0.1635,0.1651,0.186,0.0,0.088,0.0361,Technology,4
obs_938,0.2135,0.0503,0.044,0.0,0.1363,0.0303,Technology,4
obs_968,0.0778,0.101,0.139,0.0,0.1111,0.0797,Technology,4
obs_970,0.0443,0.0412,0.03,0.0,0.0733,0.0337,Healthcare,4
obs_971,0.0667,-0.0827,-0.048,0.2951,0.0876,0.0931,Technology,4
obs_972,0.1177,0.0977,0.107,0.1882,0.0731,0.0456,Technology,4
obs_978,0.2573,0.0039,0.006,0.0,0.1453,0.0049,Technology,4
obs_989,-0.0366,0.1328,0.168,0.0,0.1697,0.0593,Technology,4
obs_995,0.0194,0.2385,0.286,0.0,0.0517,0.048,Industrials,4
obs_1001,0.3602,0.1486,0.109,0.0,0.0449,0.0318,Industrials,4
obs_1014,0.0865,0.0851,0.047,0.0037,0.0942,0.0136,Technology,4
obs_1022,0.2325,0.1564,0.051,1.2033,0.0641,0.0461,Technology,4
obs_1033,0.1519,0.0516,0.029,0.3637,0.0657,0.0194,Technology,4
obs_1079,0.2996,0.1263,0.13,0.0,0.0685,0.0132,Sector_Base,4
obs_1083,-0.0697,0.0006,0.001,0.0,0.1259,0.007,Technology,4
obs_1097,0.1123,0.1231,0.099,0.1323,0.0538,0.0606,Technology,4
obs_1116,0.0604,0.1071,0.107,0.0,0.1054,0.0553,Technology,4
obs_1124,0.0026,0.0321,0.008,0.1565,0.0814,0.0271,Technology,4
obs_1131,-0.0003,0.2046,0.277,0.083,0.1427,0.0354,Industrials,4
obs_1167,0.064,0.3048,0.186,0.0,0.0444,0.0178,Industrials,4
obs_1183,-0.0306,0.1968,0.099,0.0,0.0838,0.027,Technology,4
obs_1192,0.1456,0.0011,0.001,0.063,0.093,0.0162,Technology,4
