company,Revenue_Growth,returnOnEquity,Profit_Margin,Debt_to_Equity,R_and_D_to_Revenue,Capex_to_Revenue,sector,cluster
obs_154,0.1824,0.0757,0.455,1.6921,0.0,0.0271,Financial_Services,2
obs_157,0.075,0.2921,0.261,1.0964,0.0,0.1505,Industrials,2
obs_165,0.0,0.7096,0.289,4.294,0.0,0.0439,Consumer_Cyclical,2
obs_168,0.121,0.4418,0.446,0.5201,0.0642,0.0174,Technology,2
obs_173,0.0746,0.349,0.087,3.5219,0.0,0.0734,Technology,2
obs_174,0.1311,0.4572,0.12,0.9152,0.0029,0.054,Sector_Base,2
obs_179,0.1685,0.2851,0.092,1.0584,0.0,0.0191,Industrials,2
obs_182,0.0719,0.2733,0.086,2.3026,0.0,0.0665,Consumer_Cyclical,2
obs_183,0.1296,0.3175,0.052,1.3257,0.0,0.0399,Consumer_Cyclical,2
obs_189,0.1804,0.2881,0.326,1.6909,0.0,0.012,Consumer_Defensive,2
obs_195,0.0354,0.2888,0.304,1.2773,0.0,0.1395,Consumer_Defensive,2
obs_199,0.2114,0.4976,0.183,0.2555,0.0,0.0161,Financial_Services,2
obs_212,0.0764,0.4071,0.07,1.1556,0.0,0.0213,Industrials,2
obs_216,0.0812,0.1874,0.036,2.3911,0.0,0.0571,Consumer_Cyclical,2
obs_218,0.1204,0.3085,0.074,1.2559,0.0,0.0586,Consumer_Cyclical,2
obs_223,0.1544,0.2127,0.05,2.1809,0.0,0.05,Sector_Base,2
obs_234,0.0729,0.1719,0.044,3.2064,0.0156,0.0305,Sector_Base,2
obs_238,0.0317,0.7876,0.174,2.268,0.0,0.0229,Industrials,2
obs_239,0.2483,0.4077,0.028,2.8711,0.0,0.0249,Consumer_Cyclical,2
obs_240,0.0989,0.1952,0.086,4.3754,0.0,0.0885,Industrials,2
obs_241,0.1974,0.1532,0.073,2.3781,0.0,0.036,Consumer_Defensive,2
obs_250,0.1573,0.3944,0.107,1.6957,0.0,0.0415,Industrials,2
obs_256,0.0818,0.2429,0.333,1.4428,0.0,0.0334,Industrials,2
obs_257,0.1066,0.3,0.342,0.0,0.0,0.0314,Financial_Services,2
obs_264,0.2076,0.2555,0.093,1.158,0.013,0.0831,Industrials,2
obs_269,0.0941,0.1004,0.044,3.4731,0.0,0.0615,Consumer_Cyclical,2
obs_292,0.1683,0.4838,0.149,2.2127,0.0,0.0315,Consumer_Cyclical,2
obs_293,-0.0241,0.2321,0.133,1.3611,0.0,0.0138,Consumer_Cyclical,2
obs_294,0.6929,0.6384,0.093,1.1308,0.0309,0.0197,Technology,2
obs_300,0.06,0.699,0.135,3.6159,0.0,0.0114,Consumer_Cyclical,2
obs_304,0.0452,0.391,0.099,0.9626,0.0,0.027,Industrials,2
obs_314,0.2117,0.3221,0.136,3.452,0.0,0.1993,Industrials,2
obs_322,0.0223,0.5177,0.204,2.5988,0.0,0.0618,Industrials,2
obs_326,0.0011,0.5207,0.087,1.9205,0.0,0.0128,Consumer_Cyclical,2
obs_331,0.0486,0.2416,0.35,2.4464,0.0,0.0331,Financial_Services,2
obs_334,0.0665,0.2349,0.217,0.9075,0.0042,0.158,Sector_Base,2
obs_335,0.0627,0.6617,0.189,1.4332,0.0,0.018,Industrials,2
obs_338,0.1343,0.668,0.159,2.2194,0.0,0.0179,Industrials,2
obs_340,0.0381,0.3563,0.022,3.8823,0.0,0.0508,Consumer_Cyclical,2
obs_347,0.2166,0.2793,0.13,0.8405,0.0,0.042,Consumer_Cyclical,2
obs_348,0.106,0.382,0.123,0.257,0.0009,0.0188,Energy,2
obs_356,0.2903,0.1294,0.327,3.7906,0.0,0.0011,Real_Estate,2
obs_357,-0.0515,0.3527,0.055,0.871,0.0,0.0426,Consumer_Cyclical,2
obs_365,0.2118,0.4512,0.085,2.5425,0.0,0.0256,Financial_Services,2
obs_366,0.0639,0.3175,0.311,0.0,0.0,0.0451,Financial_Services,2
obs_371,0.0132,0.0909,0.088,3.5672,0.0,0.1326,Real_Estate,2
obs_372,0.0562,0.3311,0.08,1.0981,0.0,0.0188,Industrials,2
obs_373,0.0976,0.6535,0.245,2.9529,0.0742,0.058,Healthcare,2
obs_375,0.1599,0.3025,0.184,2.1958,0.0,0.0296,Consumer_Cyclical,2
obs_376,0.0296,0.3068,0.129,1.5978,0.0,0.1136,Industrials,2
obs_384,0.1549,0.1895,0.033,1.9404,0.0,0.0224,Sector_Base,2
obs_386,-0.006,0.1436,0.089,3.0519,0.0,-0.0783,Consumer_Cyclical,2
obs_390,0.2557,0.2919,0.07,1.0128,0.0114,0.0169,Technology,2
obs_400,0.0688,0.5749,0.187,1.5643,0.0,0.0163,Financial_Services,2
obs_412,0.0489,0.4473,0.028,2.8014,0.0,0.0472,Consumer_Cyclical,2
obs_418,0.1589,0.2082,0.112,2.3752,0.0,0.0344,Consumer_Cyclical,2
obs_419,0.1272,0.5046,0.472,1.6157,0.0,0.1954,Energy,2
obs_421,0.0393,0.3805,0.063,1.5192,0.0,0.026,Consumer_Cyclical,2
obs_433,0.1983,0.1464,0.119,2.1422,0.0,0.0777,Industrials,2
obs_437,0.0424,0.2896,0.087,1.0834,0.0287,0.025,Sector_Base,2
obs_441,0.0455,0.3272,0.161,1.1468,0.0,0.059,Consumer_Defensive,2
obs_445,0.0784,0.2002,0.039,3.9551,0.0,0.0173,Consumer_Cyclical,2
obs_449,0.3187,0.1485,0.056,1.9496,0.0,0.0215,Sector_Base,2
obs_467,0.033,0.1916,0.101,1.8175,0.0,0.0245,Consumer_Defensive,2
obs_478,0.0123,0.2996,0.093,4.2838,0.0,0.0373,Consumer_Cyclical,2
obs_483,0.03,0.1394,0.062,2.6418,0.0,0.083,Real_Estate,2
obs_486,0.0772,0.2732,0.105,1.5042,0.0,0.0223,Financial_Services,2
obs_491,0.1887,0.3869,0.05,1.4235,0.0,0.0157,Consumer_Cyclical,2
obs_495,0.0453,0.4065,0.104,0.4672,0.0,0.0344,Industrials,2
obs_496,0.1702,0.2972,0.063,2.5045,0.0,0.0143,Sector_Base,2
obs_507,0.0342,0.4985,0.085,1.5315,0.0059,0.0376,Industrials,2
obs_511,0.1198,0.3868,0.055,2.2643,0.0427,0.0371,Consumer_Cyclical,2
obs_516,0.1091,0.3466,0.063,4.0839,0.0,0.0427,Consumer_Cyclical,2
obs_522,0.1563,-0.0846,-0.033,4.2279,0.0411,0.0471,Technology,2
obs_527,0.1698,0.3,0.147,0.8889,0.0,0.0373,Technology,2
obs_540,0.1133,0.3449,0.224,1.3479,0.0,0.011,Financial_Services,2
obs_541,0.0884,0.2762,0.105,0.9365,0.0,0.0786,Consumer_Cyclical,2
obs_542,0.0988,0.5515,0.102,0.8463,0.0,0.0492,Industrials,2
obs_548,0.0947,0.1274,0.046,2.5263,0.0,0.0648,Sector_Base,2
obs_550,0.0276,0.4859,0.202,2.9414,0.0117,0.0188,Consumer_Defensive,2
obs_554,0.0949,0.6886,0.224,3.4418,0.0,0.0349,Consumer_Cyclical,2
obs_562,0.0547,0.4435,0.127,0.4512,0.0,0.0389,Sector_Base,2
obs_572,0.048,0.3789,0.245,0.7327,0.0593,0.0397,Technology,2
obs_577,0.0718,0.5109,0.08,2.2449,0.0032,0.0767,Sector_Base,2
obs_578,0.0362,0.5707,0.118,3.7528,0.0497,0.0586,Healthcare,2
obs_581,0.0824,0.4894,0.065,2.0586,0.0,0.0345,Industrials,2
obs_586,0.3884,0.0925,0.046,4.102,0.0,0.0712,Consumer_Cyclical,2
obs_597,0.01,0.3259,0.072,1.4845,0.0,0.0228,Industrials,2
obs_598,0.065,0.2296,0.17,1.2517,0.0418,0.0454,Technology,2
obs_607,0.0908,0.2601,0.167,0.9089,0.0,0.0396,Industrials,2
obs_622,0.096,0.2287,0.038,2.2131,0.0,0.031,Sector_Base,2
obs_623,0.2684,0.0319,0.005,3.1825,0.0173,0.0431,Consumer_Cyclical,2
obs_636,0.1594,0.3349,0.103,0.7182,0.0481,0.0345,Consumer_Cyclical,2
obs_641,0.0878,0.2542,0.05,2.6151,0.0,0.0429,Consumer_Cyclical,2
obs_642,0.0429,0.144,0.014,2.7846,0.0,0.0029,Consumer_Cyclical,2
obs_644,0.187,0.0769,0.034,2.5042,0.0,0.0709,Healthcare,2
obs_658,0.1148,0.408,0.19,2.5457,0.0,0.091,Technology,2
obs_664,0.0064,0.5116,0.299,0.2439,0.0,0.0091,Financial_Services,2
obs_673,0.0851,0.3732,0.1,2.1199,0.0,0.0951,Sector_Base,2
obs_681,0.1211,0.4536,0.206,0.369,0.0382,0.0326,Industrials,2
obs_688,0.1141,0.4184,0.353,3.3238,0.0,0.0934,Energy,2
obs_689,0.2049,0.3133,0.118,1.3406,0.0247,0.0234,Technology,2
obs_694,0.1613,0.3149,0.107,0.6764,0.0,0.0347,Consumer_Cyclical,2
obs_695,0.0928,0.2289,0.068,1.9695,0.0,0.0631,Healthcare,2
obs_711,0.1456,0.4551,0.275,0.9845,0.0,0.0304,Consumer_Cyclical,2
obs_730,0.0925,0.3088,0.079,1.3478,0.0,0.055,Consumer_Cyclical,2
obs_738,0.18,0.4519,0.153,0.0,0.0,0.0327,Consumer_Defensive,2
obs_745,0.2468,0.2212,0.088,1.8335,0.0,0.0597,Sector_Base,2
obs_746,0.2029,0.2984,0.062,4.4389,0.0,0.2665,Industrials,2
obs_750,0.172,0.2219,0.022,2.8749,0.0,0.0134,Consumer_Cyclical,2
obs_758,0.0356,0.4256,0.082,0.6875,0.0,0.0501,Consumer_Cyclical,2
obs_763,0.0654,0.1805,0.021,2.3025,0.0,0.0134,Consumer_Cyclical,2
obs_797,0.1658,0.4993,0.149,2.2214,0.019,0.0828,Sector_Base,2
obs_798,0.3836,0.2932,0.053,1.5425,0.0,0.0124,Consumer_Cyclical,2
obs_804,0.1376,0.2102,0.141,2.1487,0.0,0.0368,Consumer_Cyclical,2
obs_827,0.094,0.2959,0.045,2.5104,0.0,0.0215,Sector_Base,2
obs_845,0.154,0.3237,0.095,0.7922,0.0,0.018,Industrials,2
obs_847,0.2107,0.3924,0.197,0.0,0.0,0.0493,Sector_Base,2
obs_850,0.1796,0.3,0.041,2.5395,0.0,0.0249,Sector_Base,2
obs_858,0.1432,0.7454,0.35,1.8684,0.0,0.1481,Consumer_Cyclical,2
obs_869,-0.0417,0.3257,0.076,1.6049,0.0,0.0385,Financial_Services,2
obs_870,0.1266,0.1207,0.035,3.9743,0.0,0.2868,Industrials,2
obs_910,-0.0244,0.4371,0.091,0.2103,0.0,0.0705,Industrials,2
obs_943,0.0415,0.4791,0.103,1.5738,0.0613,0.0326,Sector_Base,2
obs_951,0.0729,0.3508,0.079,1.689,0.0,0.0226,Healthcare,2
obs_958,0.1034,0.2344,0.097,1.8422,0.0,0.2008,Industrials,2
obs_965,0.117,0.2125,0.154,1.4995,0.0,0.1998,Communication_Services,2
obs_975,-0.008,0.4127,0.139,1.2597,0.0,0.0325,Sector_Base,2
obs_977,0.1641,0.3061,0.076,2.6714,0.0,0.0068,Consumer_Defensive,2
obs_982,0.297,0.2649,0.064,2.3632,0.0,0.025,Sector_Base,2
obs_998,0.1307,0.3295,0.393,1.5886,0.0,0.0,Sector_Base,2
obs_1019,0.4778,0.3411,0.055,4.2124,0.0,-0.0036,Industrials,2
obs_1069,0.138,0.1113,0.087,4.1102,0.0,0.1348,Utilities,2
obs_1073,0.2014,0.2493,0.036,1.9133,0.0,0.0429,Industrials,2
obs_1084,0.2975,0.1199,0.122,3.0948,0.0,0.0212,Financial_Services,2
obs_1109,0.1735,0.1793,0.032,1.891,0.0,0.0272,Industrials,2
obs_1129,-0.0213,0.3242,0.103,0.6433,0.0,0.081,Sector_Base,2
obs_1148,0.2122,0.4102,0.089,0.9767,0.0,0.0336,Technology,2
obs_1156,-0.0108,0.1633,0.014,3.3114,0.0,0.0071,Industrials,2
obs_1158,0.3129,0.1501,0.03,1.9921,0.0,0.0436,Industrials,2
obs_1189,0.0163,0.7837,0.215,0.6511,0.0,0.0124,Consumer_Cyclical,2
